status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,3,2,0.12,Adjuntas,Puerto Rico,601,920,,105000
for_sale,4,2,0.08,Adjuntas,Puerto Rico,601,1527,,80000
for_sale,2,1,0.15,Juana Diaz,Puerto Rico,795,748,,67000
for_sale,4,2,0.1,Ponce,Puerto Rico,731,1800,,145000
for_sale,6,2,0.05,Mayaguez,Puerto Rico,680,,,65000
for_sale,4,3,0.46,San Sebastian,Puerto Rico,612,2520,,179000
for_sale,3,1,0.2,Ciales,Puerto Rico,639,2040,,50000
for_sale,3,2,0.08,Ponce,Puerto Rico,731,1050,,71600
for_sale,2,1,0.09,Ponce,Puerto Rico,730,1092,,100000
for_sale,5,3,7.46,Las Marias,Puerto Rico,670,5403,,300000
for_sale,3,2,13.39,Isabela,Puerto Rico,662,1106,,89000
for_sale,3,2,0.08,Juana Diaz,Puerto Rico,795,1045,,150000
for_sale,3,2,0.1,Lares,Puerto Rico,669,4161,,155000
for_sale,5,2,0.12,Utuado,Puerto Rico,641,1620,,79000
for_sale,5,5,0.74,Ponce,Puerto Rico,731,2677,,649000
for_sale,3,2,0.08,Yauco,Puerto Rico,698,1100,,120000
for_sale,4,4,0.22,Mayaguez,Puerto Rico,680,3450,,235000
for_sale,3,2,0.08,Ponce,Puerto Rico,728,1500,,105000
for_sale,3,2,3.88,San Sebastian,Puerto Rico,685,4000,,575000
for_sale,6,3,0.25,Anasco,Puerto Rico,610,1230,,140000
for_sale,2,1,0.23,Yauco,Puerto Rico,698,621,,50000
for_sale,6,3,0.1,Moca,Puerto Rico,676,3000,,165000
for_sale,3,1,2,Coamo,Puerto Rico,769,1213,,189000
for_sale,3,2,,Ponce,Puerto Rico,716,1148,,115000
for_sale,3,2,0.05,Yauco,Puerto Rico,698,1118,,122500
for_sale,3,2,0.28,San Sebastian,Puerto Rico,685,1500,,255000
for_sale,4,3,0.3,Ponce,Puerto Rico,730,3000,,425000
for_sale,4,2,0.11,Guayanilla,Puerto Rico,656,1300,,93000
for_sale,4,2,0.04,Manati,Puerto Rico,676,1080,,75000
for_sale,3,2,0.69,Isabela,Puerto Rico,662,2505,,469000
for_sale,6,3,1.75,Villalba,Puerto Rico,766,1943,,189000
for_sale,5,4,0.12,Ponce,Puerto Rico,717,1600,,225000
for_sale,4,2,3.08,Santa Isabel,Puerto Rico,757,2886,,495000
for_sale,1,1,0.1,Ponce,Puerto Rico,730,850,,220000
for_sale,3,1,0.23,Yauco,Puerto Rico,698,936,,70500
for_sale,3,2,1.13,Moca,Puerto Rico,676,1928,,305000
for_sale,4,4,4.84,San Sebastian,Puerto Rico,685,3690,,475000
for_sale,3,4,1.94,Utuado,Puerto Rico,641,2500,,195000
for_sale,4,2,0.24,Las Marias,Puerto Rico,670,1800,,120000
for_sale,9,7,0.46,Mayaguez,Puerto Rico,680,3709,,650000
for_sale,5,3,0.16,Ponce,Puerto Rico,730,3100,,555000
for_sale,6,6,0.94,Penuelas,Puerto Rico,624,9297,,3900000
for_sale,,,0.99,Moca,Puerto Rico,676,43082,,400000
for_sale,,,18.45,Hatillo,Puerto Rico,659,,,380000
for_sale,3,2,0.1,Aguada,Puerto Rico,602,600,,95000
for_sale,3,1,0.09,Aguada,Puerto Rico,602,900,,74000
for_sale,4,2,0.15,Aguada,Puerto Rico,602,3000,,139500
for_sale,1,1,0.26,Aguada,Puerto Rico,602,2100,,149900
